Printer_Setting_Log,

Log_file_name,PLOG0001.CSV,
Image_file_name,D:\DCIM\100_FUJI\DSCF0001.JPG,
MODEL,FI019,
Serial_number,3310117352,
Firmware_version,1.06,
Log_profile,1.00,
Print_Time,2024/10/19 09:36:41,
PH_Vendar,TP,
PH_Serial_No,4156A231160856,
PH_TYPE,ELPH_TYPE_PP2,
BrightnessFTNM_R,28,
BrightnessFTNM_G,31,
BrightnessFTNM_B,42,
BrightnessTPREF1NM_R,9,
BrightnessTPREF1NM_G,7,
BrightnessTPREF1NM_B,4,
BrightnessTPREF2NM_R,155,
BrightnessTPREF2NM_G,116,
BrightnessTPREF2NM_B,104,
BrightnessFT3D_R,28,
BrightnessFT3D_G,32,
BrightnessFT3D_B,42,
BrightnessTPREF13D_R,7,
BrightnessTPREF13D_G,5,
BrightnessTPREF13D_B,3,
BrightnessTPREF23D_R,151,
BrightnessTPREF23D_G,118,
BrightnessTPREF23D_B,113,
Exposure_R,500 nsec,
Exposure_G,500 nsec,
Exposure_B,500 nsec,
temperature,22.0,
3DLUT_enable,ON,
3DLUT_information,2021/07/01 ref3,
Double_density,OFF,
Print_Brightness,x1.0,
result,No Film PI,

Printer_Parameter_Log,
motor_duty:pri_usb,100,
motor_duty:rej_usb,100,
motor_duty:pri,100,
motor_duty:rej,100,
LNC_F_enable,1,
LNC_UH_centerPos,155,
LNC_UH_width_HI,30,
LNC_UH_width_LO,50,
LNC_UH_effectValue,250,250,250,
LNC_UH_referOffsetLine,4,
LNC_UH_referMovAveCnt,3,
LNC_UH_lastMovAveCnt,3,
LNC_UH_LoCutCoef,128,128,0,
LNC_SH_CorrLimMin,-2,
LNC_SH_CorrLimMax,2,
LNC_F_corrRvs,0,
LNC_F_halfEf,0,
LNC_UH_effectDelay,0,

Shading_Data_(_Adjust_Area_data_),
R     ,G     ,B     ,
 31531, 31953, 30496,
 28863, 31295, 30664,
 28813, 31179, 30607,
 31413, 32262, 30948,
 30948, 31893, 30552,
 28616, 31120, 30664,
 28963, 31413, 30833,
 31531, 31953, 30664,
 30330, 31893, 30720,
 28470, 30948, 30385,
 29319, 31711, 30948,
 31832, 32076, 30720,
 29631, 31711, 30664,
 28470, 31063, 30607,
 29736, 31832, 30777,
 31531, 31893, 30552,
 29370, 31711, 30948,
 28518, 31295, 30890,
 30275, 32076, 30890,
 31237, 31953, 30664,
 29165, 31591, 31120,
 28813, 31354, 30948,
 30890, 32138, 30777,
 31005, 32200, 30890,
 28963, 31531, 31179,
 29370, 31711, 31413,
 31531, 32262, 30833,
 30664, 32513, 31354,
 28863, 31472, 31120,
 29474, 31771, 31120,
 31953, 32324, 31120,
 30057, 32200, 31237,
 28813, 31472, 31179,
 30111, 32015, 31413,
 31953, 32262, 31120,
 29526, 31953, 31295,
 28665, 31295, 30948,
 30440, 32015, 31063,
 31472, 31893, 30607,
 29165, 31591, 30948,
 28764, 31413, 31063,
 30890, 32200, 31120,
 31295, 32200, 30833,
 28913, 31472, 31063,
 28963, 31472, 31179,
 31179, 32138, 31005,
 30948, 32262, 31354,
 28665, 31295, 30890,
 29216, 31711, 31063,
 31651, 32015, 30948,
 30275, 32015, 31179,
 28665, 31413, 31295,
 29526, 31893, 31179,
 31832, 32387, 31354,
 29842, 32076, 31413,
 28714, 31354, 31120,
 30165, 32200, 31413,
 31711, 32200, 31120,
 29631, 32015, 31531,
 28963, 31591, 31472,
 30720, 32450, 31413,
 31295, 32387, 31179,
 29165, 31711, 31413,
 28963, 31531, 31237,
 31063, 32387, 31295,
 30833, 32387, 31413,
 28913, 31531, 31354,
 29216, 31651, 31354,
 31531, 32324, 31295,
 30165, 32387, 31591,
 28665, 31354, 31120,
 29319, 31531, 30833,
